Frequency(Hz),  Magnitude(dB),   Phase(deg)
154.358, 96.4767, 73.2174
154.541, 96.2942, 70.7456
154.724, 96.5831, 69.3029
154.907, 96.3797, 67.8463
155.090, 96.4362, 67.2169
155.273, 96.4834, 63.1747
155.457, 96.3457, 63.3312
155.640, 96.4267, 59.7915
155.823, 96.2581, 58.4810
156.006, 95.9295, 57.2466
156.189, 95.9905, 55.8159
156.372, 96.0063, 55.8464
156.555, 95.8878, 52.1913
156.738, 95.5886, 52.1480
156.921, 95.6403, 51.8721
157.104, 95.5880, 48.5198
157.288, 95.2597, 49.0053
157.471, 95.4492, 47.5279
157.654, 95.1291, 46.1261
157.837, 95.0765, 47.1258
158.020, 95.1063, 44.3246
